PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA UTILITARIA,TOTAL GASTOS
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA,,GOBERNADOR ESTATAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,FRANCISCO ALCIBIADES GARCIA LIZARDI,04/04/2021,02/06/2021,01/04/2021 02:02:35 p.m.,ACTIVO,,26096939.97,,43677.8,,,,,,55981.6,99659.4
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA,,GOBERNADOR ESTATAL,C,PARTIDO DE BAJA CALIFORNIA,PBC,CARLOS ATILANO PEÑA,04/04/2021,02/06/2021,01/04/2021 02:17:18 p.m.,ACTIVO,,26096939.97,,413759.23,,84548.94,,,,183860,682168.17
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA,,GOBERNADOR ESTATAL,C,PARTIDO ENCUENTRO SOLIDARIO,PES,JORGE HANK RHON,04/04/2021,02/06/2021,01/04/2021 02:05:09 p.m.,ACTIVO,,26096939.97,,,17940.82,,,,,,17940.82
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA,,GOBERNADOR ESTATAL,COA,ALIANZA VA POR BAJA CALIFORNIA.,PAN-PRI-PRD,MARIA GUADALUPE JONES GARAY,04/04/2021,02/06/2021,01/04/2021 01:59:19 p.m.,ACTIVO,,26096939.97,,,,984960,,445500,,1374300,2804760
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA SUR,,GOBERNADOR ESTATAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,ANDREA MARCELA GEIGER VILLALPANDO,04/04/2021,02/06/2021,04/04/2021 08:36:32 p.m.,ACTIVO,,16647040,,40909.44,,500000,,,,,540909.44
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA SUR,,GOBERNADOR ESTATAL,C,PARTIDO ENCUENTRO SOLIDARIO,PES,ADONAI CARREON ESTRADA,04/04/2021,02/06/2021,08/04/2021 11:13:42 a.m.,ACTIVO,,16647040,,,5748.46,,,,,,5748.46
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA SUR,,GOBERNADOR ESTATAL,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,JESUS ARMIDA CASTRO GUZMAN,04/04/2021,02/06/2021,05/04/2021 06:54:29 p.m.,ACTIVO,,16647040,,,10000,4000,,30302,406118.98,,450420.98
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA SUR,,GOBERNADOR ESTATAL,CC,PARTIDO ACCIÓN NACIONAL,PAN,FRANCISCO PELAYO COVARRUBIAS,04/04/2021,02/06/2021,04/04/2021 08:25:09 p.m.,ACTIVO,,16647040,,1212100.12,,480503.61,,573457.6,,224638.67,2490700
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA SUR,,GOBERNADOR ESTATAL,COA,JUNTOS HAREMOS HISTORIA EN BAJA CALIFORNIA SUR,PT-MORENA,VICTOR MANUEL CASTRO COSIO,04/04/2021,02/06/2021,05/04/2021 07:35:01 p.m.,ACTIVO,,16647040,,69439.66,,,,,,,69439.66
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA SUR,Distrito 1-SAN JOSE DEL CABO,DIPUTADO LOCAL MR,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,JACQUELINE LICEAGA VEGA,04/04/2021,02/06/2021,06/04/2021 04:38:27 p.m.,ACTIVO,,1225086.6,,,,,,,33755.34,,33755.34
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA SUR,Distrito 1-SAN JOSE DEL CABO,DIPUTADO LOCAL MR,CC,PARTIDO ACCIÓN NACIONAL,PAN,EDA MARIA PALACIOS MARQUEZ,04/04/2021,02/06/2021,05/04/2021 11:11:15 p.m.,ACTIVO,,1225086.6,,53983,,2320,,,,1779.89,58082.89
PRELO-CAM-20/21,LOCAL,BAJA CALIFORNIA SUR,Distrito 2-LA PAZ,DIPUTADO LOCAL MR,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,JEHU FERNANDO VAZQUEZ SAVIN,04/04/2021,02/06/2021,05/04/2021 09:10:28 p.m.,ACTIVO,,1044726.4,,,,,,,33755.31,,33755.31
